"Timestamp","What is your gender?","What is your age group?","What is your Country of Residence?","Are you subscribed to a music streaming platform?","Why do you not use music streaming? (multiple answers possible)","Which channels do you use instead? (you can finish this survey after this question)","Which platform do you use mainly?","Why do you use this platform?","Which subscription model do you use?","How often do you use music streaming?","On which devices do you use music streaming services?","When do you use music streaming services?","How satisfied are you with your current music streaming platform?","I am satisfied, because...","I am not satisfied, because...","Which of the following interfaces do you find most appealing?","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [High-quality audio ]","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [Cross-Platform Syncing ]","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [Shared Playlists ]","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [Live Lyrics Integration]","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [Smart Speaker Integration]","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [Concert & Event Integration]","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [Podcast]","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [Offline Mode]","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [Live Streaming Events]","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [Sleep Timer]","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [Genre-Based Radio Stations ]","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [Music Videos]","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [Personalized Recommendations]","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [Vast Music Library]","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [Exact Search and Discovery]","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [Enhanced Artist Pages (e.g., biography)]","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [User Reviews and Ratings]","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [Launch A Mix Inspired By A Song You Love]","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [Change Your Country Recommendations ]","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [Flow (moods, genres) ]","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [Song catcher (tracks and/or humming)]","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [Music Quizz ]"
"2023/11/17 1:04:04 pm CET","Female","16-24","Ireland","Yes","","","Apple Music","Price;Selection of music and artists;Easy usage;Subscription plan","Premium (Family)","Multiple times a day","Smart Watch;Phone","During car rides;During rides with public transport;Free time;During studying;During workouts;During work;Party","4","All Artists, good price ","No smooth way to the next song ","Apple Music","Must-have","Must-have","Nice-to-have","Must-have","Must-have","Nice-to-have","Nice-to-have","Must-have","Don´t need it","Don´t need it","Don´t need it","Nice-to-have","Must-have","Must-have","Must-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Must-have","Don´t need it"
"2023/11/17 1:56:19 pm CET","Female","16-24","Germany","Yes","","","Spotify","Selection of music and artists;Popularity of platform","Premium (Student)","Multiple times a day","Phone","During car rides;During rides with public transport;During workouts","4","","","Spotify","Must-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Don´t need it","Nice-to-have","Must-have","Don´t need it","Don´t need it","Nice-to-have","Don´t need it","Must-have","Must-have","Must-have","Don´t need it","Nice-to-have","Don´t need it","Don´t need it","Must-have","Nice-to-have","Nice-to-have"
"2023/11/17 1:57:10 pm CET","Female","16-24","Ireland","Yes","","","Spotify","Feature variety;Easy usage;Popularity of platform;Subscription plan","Premium (Family)","Multiple times a day","Phone","During car rides;During rides with public transport;Free time;During studying;During workouts;Party","5","all the music, + free podcasts and audiobooks ","-","Spotify","Must-have","Nice-to-have","Nice-to-have","Must-have","Nice-to-have","Nice-to-have","Must-have","Must-have","Don´t need it","Nice-to-have","Must-have","Don´t need it","Must-have","Must-have","Must-have","Don´t need it","Don´t need it","Must-have","Must-have","Must-have","Nice-to-have","Don´t need it"
"2023/11/17 2:05:28 pm CET","Male","16-24","Ireland","Yes","","","Spotify","Price;Selection of music and artists;Popularity of platform","Premium (Individual)","Multiple times a day","Phone;Laptop;iPad or Tablet","During car rides;During rides with public transport;Free time;During studying;During workouts;During work;Party","5","Great price, good exclusives, every song is available ","","Spotify","Must-have","Nice-to-have","Must-have","Nice-to-have","Nice-to-have","Nice-to-have","Must-have","Must-have","Nice-to-have","Don´t need it","Nice-to-have","Don´t need it","Nice-to-have","Must-have","Must-have","Nice-to-have","Don´t need it","Don´t need it","Nice-to-have","Nice-to-have","Must-have","Don´t need it"
"2023/11/17 2:09:12 pm CET","Male","45-54","Heuss","Yes","","","Deezer","Subscription plan","Premium (Family)","Once a week","iPad or Tablet","Party","5","","","Deezer","Don´t need it","Don´t need it","Don´t need it","Don´t need it","Don´t need it","Don´t need it","Don´t need it","Don´t need it","Don´t need it","Don´t need it","Don´t need it","Don´t need it","Don´t need it","Don´t need it","Don´t need it","Don´t need it","Don´t need it","Don´t need it","Don´t need it","Don´t need it","Nice-to-have","Nice-to-have"
"2023/11/17 2:35:01 pm CET","Female","16-24","Ireland ","Yes","","","Spotify","Price;Feature variety;Easy usage;Popularity of platform","Premium (Family)","Multiple times a day","Phone;iPad or Tablet","During car rides;During rides with public transport;Free time;During workouts;During work;Party","5","","","Spotify","Must-have","Must-have","Must-have","Nice-to-have","Must-have","Don´t need it","Must-have","Must-have","Don´t need it","Don´t need it","Don´t need it","Don´t need it","Must-have","Must-have","Must-have","Nice-to-have","Nice-to-have","Nice-to-have","Must-have","Nice-to-have","Nice-to-have","Nice-to-have"
"2023/11/17 6:38:28 pm CET","Male","55-64","Germany","Yes","","","Apple Music","Selection of music and artists;Easy usage","Free","Once a week","Phone","During car rides;Free time","4","I am able to listen my most  favorite music","","Apple Music","Nice-to-have","Must-have","Must-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Must-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Must-have","Must-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have"
"2023/11/18 10:57:24 am CET","Female","55-64","Germany","Yes","","","Apple Music","Feature variety;Selection of music and artists;Easy usage;Device compatibility","Premium (Family)","Once a day","Phone;Apple car play","During car rides;In bed","5","I could find all music i wann and i Love the albums","","Apple Music","Must-have","Must-have","Nice-to-have","Don´t need it","Nice-to-have","Nice-to-have","Must-have","Don´t need it","Nice-to-have","Don´t need it","Nice-to-have","Must-have","Nice-to-have","Don´t need it","Nice-to-have","Must-have","Don´t need it","Don´t need it","Don´t need it","Nice-to-have","Nice-to-have","Don´t need it"
"2023/11/21 11:27:24 am CET","Male","16-24","Netherlands","No","Too prices","Digital Downloads;Youtube;Free version of subscription services","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023/11/21 11:29:23 am CET","Female","16-24","ireland","Yes","","","Spotify","Easy usage;Popularity of platform;Subscription plan","Premium (Family)","Multiple times a day","Phone;Laptop;TV;iPad or Tablet","During car rides;During rides with public transport;Free time;During studying;During workouts;During work;Party","4","","","Spotify","Must-have","Nice-to-have","Must-have","Must-have","Must-have","Nice-to-have","Must-have","Must-have","Nice-to-have","Must-have","Must-have","Must-have","Must-have","Must-have","Must-have","Nice-to-have","Nice-to-have","Must-have","Don´t need it","Must-have","Must-have","Nice-to-have"
